,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
2731,1396181,CUI Qiuxia,Female,30,CHN,China,HOC,Hockey,Women Team,9,NA,2020
2732,1310275,CUI Xiaotong,Female,26,CHN,China,ROW,Rowing,Women's Quadruple Sculls Team,1,Gold,2020
2733,1443964,CUIC Claudia,Female,32,ROU,Romania,BK3,3x3 Basketball,Women Team,7,NA,2020
2734,1465517,CUJEAN Lucien,Male,31,SUI,Switzerland,SAL,Sailing,Men's Skiff - 49er Team,14,NA,2020
2735,1341898,CULLELL ESTAPE Jofre,Male,22,ESP,Spain,MTB,Cycling Mountain Bike,Men's Cross-country,15,NA,2020
2736,1432105,CULLHAJ Indrit,Male,24,ALB,Albania,JUD,Judo,Men -66 kg,17,NA,2020
2737,1308582,CUMBO Hugo,Male,25,VAN,Vanuatu,JUD,Judo,Men -81 kg,17,NA,2020
2738,1285324,CUMMINGS JR Clarence,Male,21,USA,United States,WLF,Weightlifting,Men's 73kg,9,NA,2020
2739,1328933,CUNHA Ana Marcela,Female,29,BRA,Brazil,OWS,Marathon Swimming,Women's 10km,1,Gold,2020
2740,1351612,CUNHA Matheus,Male,22,BRA,Brazil,FBL,Football,Men Team,1,Gold,2020
2741,1457970,CUNNINGHAM Gabriele,Female,23,USA,United States,ATH,Athletics,Women's 100m Hurdles,7,NA,2020
2742,1459107,CUNNINGHAM Vashti,Female,23,USA,United States,ATH,Athletics,Women's High Jump,6,NA,2020
2743,1320544,CUPIDO Luca,Male,25,USA,United States,WPO,Water Polo,Men Team,6,NA,2020
2744,1312471,CURATOLI Luca,Male,27,ITA,Italy,FEN,Fencing,Men's Sabre Individual,17,NA,2020
2745,1312471,CURATOLI Luca,Male,27,ITA,Italy,FEN,Fencing,Men's Sabre Team,2,Silver,2020
2746,1433882,CURRAN Taylor Westermark,Male,29,CAN,Canada,HOC,Hockey,Men Team,12,NA,2020
2747,1869707,CURRY Brooks,Male,20,USA,United States,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,1,Gold,2020
2748,1473818,CURRY Scott,Male,33,NZL,New Zealand,RUG,Rugby Sevens,Men Team,2,Silver,2020
2749,1302242,CURZAN Claire,Female,17,USA,United States,SWM,Swimming,Women's 100m Butterfly,NA,NA,2020
2750,1302242,CURZAN Claire,Female,17,USA,United States,SWM,Swimming,Women's 4 x 100m Medley Relay Team,2,Silver,2020
2751,1350361,CUSINATO Ilaria,Female,21,ITA,Italy,SWM,Swimming,Women's 200m Individual Medley,NA,NA,2020
2752,1350361,CUSINATO Ilaria,Female,21,ITA,Italy,SWM,Swimming,Women's 400m Individual Medley,8,NA,2020
2753,1331965,CUTRO-KELLY Nina,Female,36,USA,United States,JUD,Judo,Women +78 kg,17,NA,2020
2754,1312138,CYBULSKA Malgorzata,Female,23,POL,Poland,EQU,Equestrian,Eventing Team,13,NA,2020
2755,1312138,CYBULSKA Malgorzata,Female,23,POL,Poland,EQU,Equestrian,Eventing Individual,49,NA,2020
2756,1403695,CYSIQUE Sarah Leonie,Female,23,FRA,France,JUD,Judo,Women -57 kg,2,Silver,2020
2757,1403695,CYSIQUE Sarah Leonie,Female,23,FRA,France,JUD,Judo,Mixed Team,1,Gold,2020
2758,1316416,CZAJA Dominik,Male,25,POL,Poland,ROW,Rowing,Men's Quadruple Sculls Team,4,NA,2020
2759,1322118,CZERNIAK Konrad,Male,32,POL,Poland,SWM,Swimming,Men's 50m Freestyle,NA,NA,2020
2760,1322118,CZERNIAK Konrad,Male,32,POL,Poland,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,NA,NA,2020
2761,1324406,CZYKIER Damian,Male,28,POL,Poland,ATH,Athletics,Men's 110m Hurdles,NA,NA,2020
2762,1413995,D ALIE Raelin,Female,33,ITA,Italy,BK3,3x3 Basketball,Women Team,6,NA,2020
2763,1296796,da CONCEICAO TRISTE Buly,Male,30,STP,São Tomé and Príncipe,CSP,Canoe Sprint,Men's Canoe Single 1000m,30,NA,2020
2764,1296796,da CONCEICAO TRISTE Buly,Male,30,STP,São Tomé and Príncipe,CSP,Canoe Sprint,Men's Canoe Double 1000m Team,14,NA,2020
2765,1310945,da COSTA Steven,Male,24,FRA,France,KTE,Karate,Men's Kumite -67kg,1,Gold,2020
